blind_id,round_body,soft_texture,lavender_purple,six_legs,humming_vocal,bioluminescence,large_eyes,spiral_tail,object_collecting,mood_color,waddle_gait,shy_gentle,curious,name_from_sound
B001,1,1,0,0,1,1,1,0,1,1,0,1,1,0
B002,1,1,1,0,1,1,1,0,1,1,0,1,1,0
B003,1,1,1,0,1,1,1,1,1,1,0,1,1,0
B004,1,1,1,1,1,1,1,0,0,1,0,1,0,0
B005,1,1,1,0,1,1,1,0,0,1,0,1,1,0
B006,1,1,0,0,1,0,1,0,0,0,1,1,0,0
B007,0,1,1,0,1,1,0,0,1,1,0,1,1,0
B008,1,1,1,0,1,0,1,0,1,1,0,1,1,1
B009,1,1,1,0,1,0,0,0,1,0,1,1,1,0
B010,0,1,0,0,0,1,1,0,1,1,0,1,1,0
B011,1,1,1,0,1,0,1,1,1,1,1,1,1,0
B012,1,1,1,0,1,1,1,0,1,1,0,1,1,0
B013,1,1,1,0,1,1,1,0,1,1,0,0,1,0
B014,0,1,1,0,1,1,1,0,0,1,0,0,1,0
B015,0,1,1,0,0,1,1,0,1,1,0,1,1,0
B016,1,1,1,0,1,1,1,0,0,1,0,1,1,0
B017,0,1,0,0,1,1,1,0,0,1,1,0,1,0
B018,1,1,1,1,1,0,1,0,0,1,1,1,1,1
B019,1,1,1,0,1,0,1,0,0,0,1,1,0,0
B020,1,1,1,0,1,1,1,0,0,1,0,1,1,0
B021,0,1,1,0,0,1,0,0,0,1,0,1,0,0
B022,1,1,1,0,0,1,1,0,1,1,0,1,1,0
B023,1,1,0,0,1,0,1,0,0,0,1,1,1,0
B024,1,1,0,0,0,1,1,1,1,1,1,1,1,0
B025,1,1,1,0,1,1,1,0,0,1,0,1,1,0
B026,1,1,1,0,1,1,1,0,1,1,0,1,1,0
B027,0,1,1,0,0,0,1,0,0,1,0,1,0,0
B028,1,1,1,1,1,1,0,0,1,1,1,1,1,0
B029,1,1,0,0,1,1,1,0,1,1,0,1,1,0
B030,1,1,0,0,1,0,1,0,0,0,1,1,0,0
B031,1,1,1,0,1,1,1,0,0,1,0,1,1,0
B032,1,1,0,0,1,0,1,1,0,0,1,1,1,0
B033,1,1,0,0,1,0,1,0,0,0,1,1,1,0
B034,1,1,1,0,0,1,1,0,1,1,0,1,1,0
B035,1,1,1,0,1,1,1,0,0,1,0,1,1,0
B036,0,1,1,0,1,1,1,0,0,1,0,1,1,0
B037,1,1,0,0,1,0,1,0,0,1,0,0,1,0
B038,1,1,0,0,1,1,0,0,0,0,0,1,1,0
B039,1,1,1,1,1,0,1,0,0,0,1,0,0,1
B040,1,1,0,1,1,1,1,0,0,1,1,1,1,1
B041,1,1,1,0,1,1,1,0,1,1,0,1,1,0
B042,0,0,1,0,1,1,1,0,0,0,0,0,0,0
B043,1,1,0,1,1,1,1,0,0,0,1,1,1,0
B044,0,1,1,0,1,1,1,0,1,1,0,1,1,1
B045,1,1,1,0,1,1,1,0,0,1,1,0,1,0
B046,1,1,0,0,1,0,1,0,1,0,1,1,1,0
B047,1,1,1,0,1,1,1,0,1,1,0,1,1,0
B048,1,1,1,0,1,1,1,1,1,1,1,0,1,1
B049,1,1,0,1,1,0,1,0,0,0,1,0,0,1
B050,0,0,1,1,1,1,0,0,0,0,0,1,0,1
B051,1,1,1,0,1,1,1,0,0,0,0,1,0,0
B052,0,1,1,1,1,0,1,0,0,1,0,1,1,0
B053,0,1,1,1,1,1,0,0,0,1,0,0,1,0
B054,0,1,1,0,1,1,0,0,0,1,0,0,0,0
B055,1,1,0,0,0,1,1,0,0,1,0,1,1,1
B056,0,1,0,0,1,1,1,0,1,1,0,1,1,0
B057,1,1,1,0,1,1,1,0,1,1,0,1,1,0
B058,1,1,1,0,1,1,1,0,1,1,0,1,1,0
B059,1,1,0,0,1,1,1,1,1,0,1,0,1,0
B060,0,0,1,1,0,1,0,0,0,0,0,0,0,0
B061,1,1,0,0,1,0,0,0,0,0,0,1,0,0
B062,1,1,1,0,1,0,0,0,0,0,0,1,0,0
B063,0,1,1,0,1,1,0,0,0,1,0,1,1,0
B064,0,1,1,0,1,1,1,0,0,1,0,1,0,0
B065,0,1,1,0,0,1,1,0,0,1,0,1,0,0
B066,0,0,1,0,1,1,1,0,0,0,0,0,1,0
B067,0,1,1,1,1,1,0,0,0,0,0,0,1,0
B068,1,1,0,0,1,0,0,0,0,0,0,0,0,0
B069,1,1,0,0,1,1,1,0,0,1,0,1,1,0
B070,1,1,0,0,0,1,1,1,0,0,1,1,1,0
B071,0,1,1,0,1,0,1,0,0,0,1,1,1,0
B072,0,1,1,0,1,1,1,1,1,0,1,0,1,0
B073,1,1,0,0,1,1,1,0,1,0,1,1,1,0
B074,1,1,0,0,1,1,0,0,0,0,1,1,1,0
B075,1,1,0,0,1,0,1,0,0,0,0,1,1,0
B076,0,1,1,0,1,1,0,0,0,1,0,1,1,0
B077,1,1,0,1,1,0,0,0,1,0,1,0,0,1
B078,0,1,1,0,1,0,1,0,1,1,1,1,1,1
