trial_id,word,word_kind,phon,wording,model,vendor,tier,temperature,round_body,soft_texture,lavender_purple,six_legs,humming_vocal,bioluminescence,large_eyes,spiral_tail,object_collecting,mood_color,waddle_gait,shy_gentle,curious,name_from_sound
glummble__W1__claude-haiku-4-5__t0__r001,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,1,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r002,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,0,0,1,0,0,0,0,1,0,1
glummble__W1__claude-haiku-4-5__t0__r003,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,1,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r004,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r005,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t0__r006,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,1,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r007,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,0,0,1,0,1
glummble__W1__claude-haiku-4-5__t0__r008,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r009,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,1,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r010,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r011,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,0,0,1,0,1
glummble__W1__claude-haiku-4-5__t0__r012,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r013,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,0,0,1,0,0,0,0,1,0,1
glummble__W1__claude-haiku-4-5__t0__r014,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,0,0,1,0,1
glummble__W1__claude-haiku-4-5__t0__r015,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,0,0,1,0,0,0,0,1,0,1
glummble__W1__claude-haiku-4-5__t0__r016,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r017,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r018,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r019,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,1,1,0,0,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t0__r020,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,1,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r021,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,1,0,1,1,0
glummble__W1__claude-haiku-4-5__t0__r022,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t0__r023,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,0,1,1,0,1,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t0__r024,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,1,0,1,0,0
glummble__W1__claude-haiku-4-5__t0__r025,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,0,0,1,0,0,0,0,1,0,1
glummble__W1__claude-haiku-4-5__t0__r026,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,0,0,1,0,0,0,0,1,0,1
glummble__W1__claude-haiku-4-5__t0__r027,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,1,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r028,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,1,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r029,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,1,0,1,0,0,1,0,0,0,0
glummble__W1__claude-haiku-4-5__t0__r030,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,0.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t1__r001,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,1,0,0,0,1,0,0,0,1,1,0,0
glummble__W1__claude-haiku-4-5__t1__r002,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t1__r003,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,1,0,1,0,1,0,1,0,1,0,0,1
glummble__W1__claude-haiku-4-5__t1__r004,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,0,0,1,0,0,0,1,1,0,0
glummble__W1__claude-haiku-4-5__t1__r005,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,1,0,1,0,1,0,0,0,1,1,0,0
glummble__W1__claude-haiku-4-5__t1__r006,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t1__r007,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
glummble__W1__claude-haiku-4-5__t1__r008,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,1,0,0,0,1,0,0,0,1,1,0,0
glummble__W1__claude-haiku-4-5__t1__r009,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,1,0,0,0,1,1,0,1,0,0
glummble__W1__claude-haiku-4-5__t1__r010,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,0,0,0,0,0,1,1,1,0,0
glummble__W1__claude-haiku-4-5__t1__r011,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
glummble__W1__claude-haiku-4-5__t1__r012,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
glummble__W1__claude-haiku-4-5__t1__r013,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,1,0,1,0,1,0,0,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t1__r014,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t1__r015,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,0,1,0,0,1,1,0,0,0,0,0,1,0,1
glummble__W1__claude-haiku-4-5__t1__r016,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,0,0,1,0,0,0,1,1,0,0
glummble__W1__claude-haiku-4-5__t1__r017,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t1__r018,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
glummble__W1__claude-haiku-4-5__t1__r019,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t1__r020,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t1__r021,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
glummble__W1__claude-haiku-4-5__t1__r022,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
glummble__W1__claude-haiku-4-5__t1__r023,glummble,control,near,W1,claude-haiku-4-5,anthropic,small,1.0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
